class,order,superfamily,family,genus,stage,age,extinction,temp,change_prev,trend.st1,trend.st2,trend.st3,trend.st4,trend.st5,trend.st6,trend.st7,trend.st8,trend.st9,trend.st10,trend_genus,trend_family,trend_order
Foraminifera,Miliolida,Soritoidea,Milioliporidae,Kamurana,53,249.2,1,25.3613178369,-0.7135062208329868,-1.1939817904174956,-0.0208284511332424,0.31724785743843953,0.15107036945802302,0.06743797888625798,0.013393438278044824,-0.1361100993811566,0.00906012305088353,0.06355375517885252,0.08126648753138098,-0.0208284511332424,-0.0208284511332424,0.07005982273918474
Foraminifera,Miliolida,Soritoidea,Milioliporidae,Kamurana,52,251.685,0,27.13438079567,-1.193981790417528,0.3135012159585994,0.4912079972009415,0.2134749689103338,0.09362434635616058,0.02077671945245074,-0.1564850305221566,0.015347697436977076,0.07490289851011551,0.09259912093096433,0.11482518954744853,0.3135012159585994,0.3135012159585994,0.07311181671752404
Foraminifera,Miliolida,Soritoidea,Milioliporidae,Kamurana,51,253.17,0,28.90744375444,0.31350121595860136,0.603295645588287,0.11610293157506896,-0.0185274002728672,-0.07338548810546776,-0.25601786131214904,-0.009584571780372118,0.06676198719468882,0.08882748050705294,0.11495639595431519,0.10843686292566103,NA,NA,0.0684799952667286
Foraminifera,Miliolida,Soritoidea,Milioliporidae,Kamurana,50,257.035,0,27.69576155476,0.6032956455883056,-0.5244892668539282,-0.38905889258261767,-0.26461568090953347,-0.4021133237359253,-0.026856494435208097,0.07047234461356222,0.09597276816509616,0.12554292154552918,0.11609271069990983,0.13197155674541616,NA,NA,0.06700430867180159
Foraminifera,Textulariida,Lituoloidea,Hauraniidae,Kastamonina,69,148.55,1,23.404524325,0.03519367123252119,0.405422562140349,0.3421972070830643,0.4575673469001012,0.34509675340233853,0.20750687673627147,-0.027638536177837,-0.021990236715623092,-0.029674470544590784,-0.027358011148332077,-0.04286118532433433,NA,-0.027358011148332077,-0.02788194581445759
Foraminifera,Textulariida,Lituoloidea,Hauraniidae,Kastamonina,68,154.7,0,23.18808324692,0.4054225621403536,0.2529483751636354,0.5470310014134565,0.2883276152040843,0.05849071639664705,-0.22944583008513722,-0.11786822864780208,-0.08662530102141164,-0.06720465804971723,-0.07624340947860984,-0.0871005325066968,NA,-0.06720465804971723,-0.02938774653853663
Foraminifera,Rotaliida,Rotalioidea,Rotaliidae,Kathina,84,51.9,1,31.1577867926848,1.0527383247369293,0.5183672916749996,0.16658012401209546,1.1111368399324824e-4,-0.3914968891085761,-0.45786283064224936,-0.4801597372439352,-0.4213106116820398,-0.2750657770344826,-0.060140639470462,0.01758921713698888,NA,-0.4213106116820398,-0.4213106116820398
Foraminifera,Rotaliida,Rotalioidea,Rotaliidae,Kathina,83,58.8,0,23.893892352,0.5183672916750027,-0.16305147702381068,-0.1397676934331028,-0.5914923878783187,-0.624955715462816,-0.617988253513728,-0.5117126284523317,-0.3012533309885136,-0.032948339746887066,0.0506742543897661,0.09916940349305205,NA,-0.5117126284523317,-0.5117126284523317
Foraminifera,Miliolida,Soritoidea,Keramosphaeridae,Keramosphaerina,81,69.05,1,22.158076148,-0.12803490363636336,-1.661093434326752,-1.2429524569143262,-0.9564761530740497,-0.5357499406255279,-0.09391954841955397,0.24822389105099815,0.27225610739622486,0.28910855120638923,0.27808438162923643,0.22646016324629203,-1.2429524569143262,-1.2429524569143262,0.005692095391026178
Foraminifera,Miliolida,Soritoidea,Keramosphaeridae,Keramosphaerina,80,77.85,0,23.2847833,-1.6610934343267594,0.002748640722578075,-0.20969601248837674,0.07659994428602537,0.3122840266860469,0.5168408782122417,0.44861796424687844,0.42944574803541025,0.39197805470138825,0.3145903566692203,0.26648258919432954,0.002748640722578075,0.002748640722578075,0.006990632698952129
Foraminifera,Miliolida,Soritoidea,Keramosphaeridae,Keramosphaerina,79,84.95,0,35.07854668372,0.0027486407225813343,-0.3716680796192142,0.15816628327437116,0.3944344491345472,0.587095457686506,0.48550418481069757,0.4565365418271044,0.40987104799529833,0.31976331229941873,0.26471939565212976,0.22340639541700721,NA,NA,0.0014351525189687994
Foraminifera,Miliolida,Soritoidea,Keramosphaeridae,Keramosphaerina,78,88.05,0,35.07002589748,-0.3716680796192109,0.4942687518272852,0.5362199997291041,0.6841776907637834,0.5287823401474817,0.4858680116091552,0.42592857885256824,0.3170980810352787,0.2528006535384694,0.20627425691286133,0.18539509752551414,NA,NA,-0.005159308632273233
Foraminifera,Textulariida,Pfenderinoidea,Valvulinidae,Kilianina,68,154.7,1,23.18808324692,0.4054225621403536,0.2529483751636354,0.5470310014134565,0.2883276152040843,0.05849071639664705,-0.22944583008513722,-0.11786822864780208,-0.08662530102141164,-0.06720465804971723,-0.07624340947860984,-0.0871005325066968,0.5470310014134565,0.5470310014134565,-0.02938774653853663
Foraminifera,Textulariida,Pfenderinoidea,Valvulinidae,Kilianina,67,160.4,0,20.87717464272,0.2529483751636377,1.2033893266666493,0.13552405284180985,-0.21444514290424643,-0.45186668284136494,-0.18357950310390722,-0.11788607498519721,-0.08666303399812118,-0.09263171653051042,-0.10000007971869941,-0.10008924100385706,1.2033893266666493,1.2033893266666493,-0.02804992609626933
Foraminifera,Textulariida,Pfenderinoidea,Valvulinidae,Kilianina,66,164.8,0,19.764201792,1.2033893266666917,-1.1403669236761675,-0.7394273841082538,-0.6540435215460663,-0.2204054171219092,-0.13017064351062252,-0.09198895744564765,-0.09751854216218216,-0.10425399394483273,-0.10307168353778759,-0.12351573396873193,NA,NA,-0.024687155136358007
Foraminifera,Textulariida,Pfenderinoidea,Valvulinidae,Kilianina,65,167.2,0,16.876067408,-1.1403669236761893,-0.4784929216482846,-0.5876330164007451,-0.11781769610744434,-0.06000383712833337,-0.03620022226502969,-0.05405103317356135,-0.07521438765929557,-0.08320745297674928,-0.11007841481362375,-0.12777805982167836,NA,NA,-0.015732821749649337
