"Phylum" "Class" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"5384" "Chordata" "Aves" "Hongshanornithidae" "Hongshanornis" 129.4 113 73 74
"5388" "Chordata" "Ornithischia" "Nodosauridae" "Hylaeosaurus" 145 109 70 75
"5399" "Chordata" "Ornithischia" "Hadrosauridae" "Hypacrosaurus" 83.6 66 80 81
"5467" "Chordata" "Aves" "Ignotornidae" "Ignotornis" 125 66 74 81
"5569" "Chordata" "Ornithischia" "Iguanodontipodidae" "Iguanodontipus" 145 125.45 70 74
"5575" "Chordata" "Aves" "Spheniscidae" "Inguza" 11.608 3.6 92 93
"5591" "Chordata" "Saurischia" "Ornithomimipodidae" "Irenichnites" 125 100.5 74 75
"5596" "Chordata" "Saurischia" "Dromaeosauridae" "Itemirus" 93.5 89.3 77 78
"5602" "Chordata" "Aves" "Ardeidae" "Ixobrychus" 4.9 0 93 94
"5610" "Chordata" "Aves" "Jacanidae" "Jacana" 10.3 0 92 94
"5616" "Chordata" "Ornithischia" "Hadrosauridae" "Jaxartosaurus" 100.5 66 76 81
"5622" "Chordata" "Aves" "Confuciusornithidae" "Jibeinia" 129.4 113 73 74
"5624" "Chordata" "Aves" "Jindongornipodidae" "Jindongornipes" 125 100.5 74 75
"5630" "Chordata" "Aves" "Phoenicopteridae" "Juncitarsus" 50.3 37.2 84 87
"5677" "Chordata" "Ornithischia" "Stegosauridae" "Kentrosaurus" 163.5 145 67 69
"5711" "Chordata" "Aves" "Koreanaornipodidae" "Koreanaornis" 145 38 70 86
"5723" "Chordata" "Ornithischia" "Ceratopsidae" "Kosmoceratops" 83.5 70.6 80 81
"5725" "Chordata" "Ornithischia" "Hadrosauridae" "Kritosaurus" 83.5 66 80 81
"5774" "Chordata" "Aves" "Cimolopterygidae" "Lamarqueavis" 83.5 66 80 81
"5777" "Chordata" "Ornithischia" "Hadrosauridae" "Lambeosaurus" 83.6 70.6 80 81
"5803" "Chordata" "Saurischia" "Titanosauridae" "Laplatasaurus" 83.6 66 80 81
"5808" "Chordata" "Aves" "Laricolidae" "Laricola" 33.9 20.44 88 90
"5810" "Chordata" "Aves" "Laridae" "Larus" 33.9 0 88 94
"5865" "Chordata" "Aves" "Rallidae" "Laterallus" 4.9 0.0117 93 94
"5868" "Chordata" "Aves" "Rallidae" "Latipons" 47.8 38 85 86
"5878" "Chordata" "Aves" "Ciconiidae" "Leptoptilos" 16.9 0.0117 90 94
"5906" "Chordata" "Saurischia" "Rebbachisauridae" "Limaysaurus" 99.6 89.8 76 77
"5911" "Chordata" "Aves" "Scolopacidae" "Limnodromus" 4.9 0 93 94
"5927" "Chordata" "Aves" "Scolopacidae" "Limosa" 15.97 0 91 94
"5984" "Chordata" "Ornithischia" "Stegosauridae" "Loricatosaurus" 164.7 161.2 66 67
"6000" "Chordata" "Saurischia" "Massospondylidae" "Lufengosaurus" 201.3 174.1 59 62
"6019" "Chordata" "Ornithischia" "Heterodontosauridae" "Lycorhinus" 201.3 190.8 59 60
"6046" "Chordata" "Aves" "Anhingidae" "Macranhinga" 23.03 7.246 90 92
"6048" "Chordata" "Saurischia" "Elongatoolithidae" "Macroelongatoolithus" 113 89.8 75 77
"6061" "Chordata" "Saurischia" "Elongatoolithidae" "Macroolithus" 136.4 66 71 81
"6088" "Chordata" "Saurischia" "Ornithomimipodidae" "Magnoavipes" 122.46 66 74 81
"6115" "Chordata" "Ornithischia" "Hadrosauridae" "Maiasaura" 83.6 70.6 80 81
"6152" "Chordata" "Saurischia" "Mamenchisauridae" "Mamenchisaurus" 163.5 139.8 67 70
"6168" "Chordata" "Aves" "Alcidae" "Mancalla" 7.246 0.0117 92 94
"6194" "Chordata" "Ornithischia" "Hadrosauridae" "Mandschurosaurus" 125 66 74 81
"6196" "Chordata" "Ornithischia" "Iguanodontidae" "Mantellisaurus" 145 122.46 70 74
"6211" "Chordata" "Aves" "Anatidae" "Mareca" 5.333 0 93 94
"6247" "Chordata" "Saurischia" "Piatnitzkysauridae" "Marshosaurus" 157.3 145 68 69
"6298" "Chordata" "Saurischia" "Massospondylidae" "Massospondylus" 228 174.1 57 62
"6328" "Chordata" "Aves" "Alcedinidae" "Megaceryle" 4.9 0 93 94
"6341" "Chordata" "Saurischia" "Megaloolithidae" "Megaloolithus" 171.6 48.6 63 84
"6472" "Chordata" "Saurischia" "Eubrontidae" "Megalosauripus" 168.3 125.45 65 74
"6501" "Chordata" "Saurischia" "Megalosauridae" "Megalosaurus" 201.3 100.5 59 75
"6553" "Chordata" "Aves" "Palaelodidae" "Megapaloelodus" 20.43 6.8 90 92
"6587" "Chordata" "Saurischia" "Megaraptoridae" "Megaraptor" 93.5 85.8 77 79
"6606" "Chordata" "Saurischia" "Troodontidae" "Mei" 139.8 122.46 70 74
"6625" "Chordata" "Aves" "Anatidae" "Melanitta" 4.9 0 93 94
