"Order" "Superfamily" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"305" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Abrardia" 83.6 66 80 81
"306" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Campanellula" 139.4 126.3 71 73
"307" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Coskinolinoides" 126.3 100.5 74 75
"308" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Cribellopsis" 131.8 119.3 72 74
"309" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Falsurgonina" 128 119.3 73 74
"310" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Pseudorbitolina" 83.6 66 80 81
"311" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Dictyoconus" 126.3 23.03 74 89
"312" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Montseciella" 131.8 119.3 72 74
"313" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Paracoskinolina" 130.8 100.5 73 75
"314" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Paleodictyoconus" 139.4 119.3 71 74
"317" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Iraqia" 126.3 100.5 74 75
"318" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Neorbitolinopsis" 102.1 96.1 75 76
"319" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Orbitolinella" 96.1 89.8 76 77
"320" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Orbitolinopsis" 126.3 102.1 74 75
"323" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Simplorbitolina" 126.3 100.5 74 75
"324" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Dictyoconella" 96.1 66 76 81
"325" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Conicorbitolina" 102.1 96.1 75 76
"328" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Orbitolina" 102.1 93.9 75 76
"329" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Mesorbitolina" 126.3 96.1 74 76
"332" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Palorbitolina" 128.2 113 73 74
"333" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Palorbitolinoides" 118.4 102.1 74 75
"334" "Textulariida" "Orbitolinoidea" "Orbitolinidae" "Praeorbitolina" 126.3 100.5 74 75
"336" "Textulariida" "Pavonitinoidea" "Pavonitinidae" "Spiropsammia" 33.9 3.6 88 93
"337" "Textulariida" "Pavonitinoidea" "Pavonitinidae" "Pavonitina" 33.9 5.333 88 92
"338" "Textulariida" "Pavonitinoidea" "Pavonitinidae" "Pavopsammia" 33.9 23.03 88 89
"339" "Textulariida" "Pavonitinoidea" "Pavonitinidae" "Zotheculifida" 28.1 15.97 89 90
"340" "Textulariida" "Pavonitinoidea" "Pavonitinidae" "Pseudotriplasia" 23.03 5.333 90 92
"341" "Textulariida" "Lituoloidea" "Cyclamminidae" "Cyclammina" 66 0 82 94
"342" "Textulariida" "Lituoloidea" "Cyclamminidae" "Reticulophragmium" 66 0 82 94
"343" "Textulariida" "Lituoloidea" "Cyclamminidae" "Cyclammina" 66 0 82 94
"344" "Textulariida" "Lituoloidea" "Spirocyclinidae" "Saudia" 66 37.8 82 86
"346" "Textulariida" "Lituoloidea" "Hauraniidae" "Spirocyclina" 96.1 83.6 76 79
"348" "Textulariida" "Lituoloidea" "Hauraniidae" "Montsechiana" 139.4 83.6 71 79
"349" "Textulariida" "Lituoloidea" "Hauraniidae" "Qataria" 96.1 89.8 76 77
"352" "Textulariida" "Lituoloidea" "Hauraniidae" "Cymbriaella" 201.3 182.7 59 61
"353" "Textulariida" "Lituoloidea" "Hauraniidae" "Gutnicella" 190.8 163.5 61 66
"354" "Textulariida" "Lituoloidea" "Hauraniidae" "Haurania" 195 166.1 60 65
"355" "Textulariida" "Lituoloidea" "Hauraniidae" "Meyendorffina" 168.3 160.2 65 67
"356" "Textulariida" "Lituoloidea" "Hauraniidae" "Platyhaurania" 195 174.1 60 62
"358" "Textulariida" "Lituoloidea" "Hauraniidae" "Socotraina" 190.8 174.1 61 62
"359" "Textulariida" "Lituoloidea" "Hauraniidae" "Timidonella" 174.1 167.4 63 65
"360" "Textulariida" "Lituoloidea" "Hauraniidae" "Trochamijiella" 170.3 163.5 64 66
"361" "Textulariida" "Lituoloidea" "Hauraniidae" "Alzonella" 168.3 163.5 65 66
"363" "Textulariida" "Lituoloidea" "Hauraniidae" "Amijiella" 194.6 166.1 60 65
"364" "Textulariida" "Lituoloidea" "Hauraniidae" "Anchispirocyclina" 163.5 78.3 67 80
"366" "Textulariida" "Lituoloidea" "Hauraniidae" "Dhrumella" 170.3 166.1 64 65
"368" "Textulariida" "Lituoloidea" "Hauraniidae" "Kastamonina" 157.3 145 68 69
"369" "Textulariida" "Lituoloidea" "Hauraniidae" "Pseudospirocyclina" 170.3 145 64 69
"370" "Textulariida" "Lituoloidea" "Hauraniidae" "Spiraloconulus" 170.3 163.5 64 66
"371" "Textulariida" "Lituoloidea" "Hauraniidae" "Streptocyclammina" 190.8 152.1 61 68
"372" "Textulariida" "Lituoloidea" "Lituolidae" "Ammobaculites" 358.9 0 36 94
"373" "Textulariida" "Lituoloidea" "Lituolidae" "Lituola" 237 0 56 94
"376" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Pseudopfenderina" 199.3 166.1 60 65
"377" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Siphovalvulina" 201.3 100.5 59 75
"378" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Conicopfenderina" 170.3 163.5 64 66
"379" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Chablaisia" 167.4 160.2 65 67
"380" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Palaeopfenderina" 168.3 163.5 65 66
"382" "Textulariida" "Pfenderinoidea" "Pfenderenidae" "Sanderella" 168.3 157.3 65 67
