"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"3550" "Arthropoda" "Trilobita" "Asaphida" "Raphiophoridae" "Ampyxella" 460.9 449.5 17 19
"3570" "Arthropoda" "Trilobita" "Asaphida" "Raphiophoridae" "Ampyxina" 485.4 443.4 14 21
"3597" "Arthropoda" "Trilobita" "Asaphida" "Raphiophoridae" "Ampyxinella" 455.8 443.7 18 21
"3613" "Arthropoda" "Trilobita" "Asaphida" "Raphiophoridae" "Ampyxoides" 471.8 457.5 15 18
"3636" "Arthropoda" "Myriapoda" "Amynilyspedida" "Amynilyspedidae" "Amynilyspes" 318.1 303.4 39 42
"3644" "Arthropoda" "Insecta" "Coleoptera" "Hydrophilidae" "Anacaena" 23.03 13.82 90 91
"3646" "Arthropoda" "Trilobita" "Lichida" "Odontopleuridae" "Anacaenaspis" 443.4 423 21 27
"3669" "Arthropoda" "Insecta" "Coleoptera" "Lasiosynidae" "Anacapitis" 166.1 157.3 66 67
"3675" "Arthropoda" "Arachnida" "Araneae" "Tetragnathidae" "Anameta" 38 33.9 86 87
"3677" "Arthropoda" "Trilobita" "Phacopida" "Phacopidae" "Ananaspis" 443.4 393.3 21 31
"3697" "Arthropoda" "Arachnida" "Araneae" "Synotaxidae" "Anandrus" 38 33.9 86 87
"3706" "Arthropoda" "Insecta" "Hymenoptera" "Mymaridae" "Anaphes" 38 15.97 86 90
"3711" "Arthropoda" "Insecta" "Thysanoptera" "Thripidae" "Anaphothrips" 38 15.97 86 90
"3728" "Arthropoda" "Insecta" "Blattodea" "Ectobiidae" "Anaplecta" 23.03 0 90 94
"3732" "Arthropoda" "Insecta" "Coleoptera" "Scraptiidae" "Anaspis" 38 5.333 86 92
"3736" "Arthropoda" "Trilobita" "Asaphida" "Asaphidae" "Anataphrus" 468.1 443.7 16 21
"3763" "Arthropoda" "Insecta" "Coleoptera" "Coccinellidae" "Anatis" 37.2 5.333 87 92
