"Order" "Family" "Subfamily" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"8035" "Condylarthra" "Periptychidae" "Anisonchinae" "Haploconus" 64.8 61.3 82 83
"8047" "Perissodactyla" "Equidae" "Hyracotheriinae" "Haplohippus" 43.8 40 85 86
"8061" "Condylarthra" "Mesonychidae" "Mesonychinae" "Harpagolestes" 49 40 84 86
"8079" "Artiodactyla" "Dichobunidae" "Helohyinae" "Helohyus" 49.9 43.8 84 85
"8086" "Euprimates" "Omomyidae" "Omomyinae" "Hemiacodon" 52.7 42.8 84 85
"8094" "Artiodactyla" "Camelidae" "Camelinae" "Hemiauchenia" 12.5 1.9 91 94
"8209" "Creodonta" "Hyaenodontidae" "Hyaenodontinae" "Hemipsalodon" 43.8 35.7 85 87
"8219" "Artiodactyla" "Anthracotheriidae" "Anthracotheriinae" "Heptacodon" 43.8 32 85 88
"8232" "Rodentia" "Muridae" "Spalacinae" "Heramys" 18 10.834 90 92
"8236" "Artiodactyla" "Tayassuidae" "Hesperhyinae" "Hesperhys" 23 14.8 90 91
"8254" "Artiodactyla" "Camelidae" "Camelinae" "Hesperocamelus" 18.8 10.1 90 92
"8261" "Carnivora" "Canidae" "Hesperocyoninae" "Hesperocyon" 40 30 86 88
"8305" "Rodentia" "Mylagaulidae" "Mylagaulinae" "Hesperogaulus" 16 6.8 90 92
"8318" "Artiodactyla" "Protoceratidae" "Leptotragulidae" "Heteromeryx" 42.8 34.7 85 87
"8323" "Perissodactyla" "Equidae" "Equinae" "Heteropliohippus" 12.1 10.1 91 92
"8342" "Artiodactyla" "Antilocapridae" "Antilocaprinae" "Hexobelomeryx" 9 4.9 92 93
"8351" "Rodentia" "Muridae" "Arvicolinae" "Hibbardomys" 4.9 2.5 93 94
"8358" "Perissodactyla" "Equidae" "Equinae" "Hipparion" 16 5.9 90 92
"8389" "Perissodactyla" "Equidae" "Equinae" "Hippidion" 9 2.5 92 94
"8393" "Artiodactyla" "Suidae" "Suinae" "Hippopotamodon" 17 1.95 90 94
"8542" "Rodentia" "Muridae" "Cricetodontinae" "Hispanomys" 12.5 7.1 91 92
"8704" "Artiodactyla" "Dichobunidae" "Homacodontinae" "Homacodon" 49.9 46.9 84 85
"8709" "Artiodactyla" "Camelidae" "Miolabinae" "Homocamelus" 18.8 12.5 90 91
"8720" "Carnivora" "Felidae" "Machairodontinae" "Homotherium" 4.9 1.9 93 94
"8740" "Carnivora" "Mustelidae" "Ischyrictini" "Hoplictis" 12.1 10.1 91 92
"8745" "Carnivora" "Nimravidae" "Nimravinae" "Hoplophoneus" 37 31.4 87 88
"8763" "Rodentia" "Muridae" "Murinae" "Huaxiamys" 7.1 3.4 92 93
"8787" "Rodentia" "Muridae" "Murinae" "Huerzelerimys" 11.2 5.3 92 93
"8864" "Creodonta" "Hyaenodontidae" "Hyaenodontinae" "Hyaenodon" 49 30 84 88
"8951" "Artiodactyla" "Giraffidae" "Sivatheriinae" "Hydaspitherium" 11.2 3.56 92 93
"8959" "Primates" "Hominidae" "Hylobatinae" "Hylobates" 2.59 0.01 93 94
"8981" "Artiodactyla" "Suidae" "Suinae" "Hylochoerus" 3.56 1.95 93 94
"8991" "Artiodactyla" "Suidae" "Hyotheriinae" "Hyotherium" 23.8 12.5 89 91
"9092" "Perissodactyla" "Equidae" "Anchitheriinae" "Hypohippus" 18.8 10.1 90 92
"9146" "Lagomorpha" "Leporidae" "Archaeolaginae" "Hypolagus" 17.5 2.5 90 94
"9316" "Artiodactyla" "Merycoidodontidae" "Phenacocoelinae" "Hypsiops" 28.1 18.8 89 90
"9331" "Rodentia" "Muridae" "Cricetinae" "Hypsocricetus" 7.1 5.3 92 93
"9334" "Carnivora" "Mustelidae" "Leptarctinae" "Hypsoparia" 16 14.8 90 91
"9383" "Rodentia" "Castoridae" "Castorinae" "Hystricops" 18.8 7.6 90 92
"9397" "Chiroptera" "Vespertilionidae" "Vespertilioninae" "Ia" 17 1.2 90 94
"9403" "Artiodactyla" "Antilocapridae" "Antilocaprinae" "Ilingoceros" 12.1 5.9 91 92
"9424" "Carnivora" "Amphicyonidae" "Amphicyoninae" "Ischyrocyon" 16 10.1 90 92
"9435" "Rodentia" "Ischyromyidae" "Ischyromyinae" "Ischyromys" 42.8 32 85 88
"9496" "Rodentia" "Muridae" "Sigmodontinae" "Jacobsomys" 7.6 4.9 92 93
"9504" "Rodentia" "Cylindrodontidae" "Jaywilsonomyinae" "Jaywilsonomys" 40 35.7 86 87
"9520" "Perissodactyla" "Equidae" "Anchitheriinae" "Kalobatippus" 30 16 88 90
"9533" "Rodentia" "Muridae" "Arvicolinae" "Kalymnomys" 5.3 1.95 93 94
"9536" "Rodentia" "Muridae" "Tachyoryctinae" "Kanisamys" 23.8 11.2 89 92
"9549" "Rodentia" "Muridae" "Murinae" "Karnimata" 9 3.4 92 93
"9569" "Rodentia" "Muridae" "Copemyinae" "Karydomys" 20 15.2 90 91
"9588" "Artiodactyla" "Suidae" "Cainochoerinae" "Kenyasus" 20.5 14.8 90 91
"9617" "Chiroptera" "Vespertilionidae" "Kerivoulinae" "Kerivoula" 3.4 1.2 93 94
"9651" "Artiodactyla" "Suidae" "Suinae" "Kolpochoerus" 5.33 0.95 93 94
"9748" "Rodentia" "Muridae" "Cricetinae" "Kowalskia" 11.2 1.95 92 94
"9879" "Artiodactyla" "Suidae" "Listriodontinae" "Kubanochoerus" 20.5 1.8 90 94
"9912" "Artiodactyla" "Protoceratidae" "Synthetoceratinae" "Kyptoceras" 16 5.9 90 92
"9916" "Cimolesta" "Apatemyidae" "Apatemyinae" "Labidolemur" 59.9 53 83 84
"9935" "Artiodactyla" "Protoceratidae" "Synthetoceratinae" "Lambdoceras" 18.8 14.8 90 91
"9943" "Eulipotyphla" "Erinaceidae" "Galericinae" "Lantanotherium" 20 9 90 92
"9976" "Rodentia" "Muridae" "Cricetodontinae" "Lartetomys" 20 15.2 90 91
"9982" "Rodentia" "Muridae" "Arvicolinae" "Lasiopodomys" 2.6 0.78 93 94
"9993" "Rodentia" "Muridae" "Eucricetodontinae" "Leidymys" 31.4 17.5 88 90
"10025" "Rodentia" "Muridae" "Arvicolinae" "Lemmus" 2.6 0.115 93 94
"10054" "Lagomorpha" "Leporidae" "Archaeolaginae" "Lepoides" 6.8 4.9 92 93
"10058" "Carnivora" "Mustelidae" "Leptarctinae" "Leptarctus" 18.8 7.6 90 92
"10086" "Artiodactyla" "Merycoidodontidae" "Leptaucheniinae" "Leptauchenia" 40 18.8 86 90
"10138" "Artiodactyla" "Dichobunidae" "Leptochoerinae" "Leptochoerus" 35.7 28.1 87 88
"10160" "Carnivora" "Canidae" "Caninae" "Leptocyon" 33.7 9 88 92
"10227" "Rodentia" "Eomyidae" "Eomyinae" "Leptodontomys" 59.9 6.8 83 92
"10240" "Artiodactyla" "Protoceratidae" "Leptotragulidae" "Leptoreodon" 46.3 30 85 88
"10286" "Artiodactyla" "Protoceratidae" "Leptotragulidae" "Leptotragulus" 49 33.7 84 88
"10314" "Lagomorpha" "Leporidae" "Leporinae" "Lepus" 11.467 0.0441 92 94
"10361" "Eulipotyphla" "Soricidae" "Limnoecinae" "Limnoecus" 17.5 9 90 92
"10373" "Rodentia" "Aplodontidae" "Aplodontinae" "Liodontia" 17.5 6.8 90 92
"10384" "Artiodactyla" "Suidae" "Listriodontinae" "Listriodon" 23.8 7.1 89 92
"10493" "Condylarthra" "Mioclaenidae" "Mioclaeninae" "Litaletes" 65 58.8 82 83
"10508" "Rodentia" "Eomyidae" "Yoderimyinae" "Litoyoderimys" 40 36.5 86 87
