"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"6574" "Cnidaria" "Anthozoa" "Auloporida" "Auloporidae" "Aulopora" 460.9 259.9 17 49
"6840" "Cnidaria" "Anthozoa" "Auloporida" "Auloporidae" "Auloporella" 439 423 22 27
"6845" "Cnidaria" "Anthozoa" "Scleractinia" "Meandrinidae" "Aulosmilia" 125 61.6 74 82
"6878" "Cnidaria" "Anthozoa" "Auloporida" "Aulocystidae" "Aulostegites" 387.7 358.9 33 35
"6885" "Cnidaria" "Anthozoa" "Stauriida" "Ptenophyllidae" "Australophyllum" 427.4 382.7 26 33
"6909" "Cnidaria" "Anthozoa" "Stauriida" "Geyerophyllidae" "Axolithophyllum" 315.2 295.5 40 43
"6912" "Cnidaria" "Anthozoa" "Stauriida" "Axophyllidae" "Axophyllum" 345.3 300.2 37 42
"6965" "Cnidaria" "Anthozoa" "Scleractinia" "Axosmiliidae" "Axosmilia" 174.1 93.9 63 76
"7099" "Cnidaria" "Anthozoa" "Favositida" "Alveolitidae" "Axuolites" 427.4 419.2 26 28
"7104" "Cnidaria" "Anthozoa" "Scleractinia" "Acroporidae" "Bacarella" 59.2 33.9 83 87
"7108" "Cnidaria" "Anthozoa" "Auloporida" "Pyrgiidae" "Bainbridgia" 402.5 382.7 31 33
"7110" "Cnidaria" "Anthozoa" "Auloporida" "Bajgoliidae" "Bajgolia" 460.9 449.5 17 19
"7128" "Cnidaria" "Anthozoa" "Scleractinia" "Dendrophylliidae" "Balanophyllia" 86.3 0 79 94
"7461" "Cnidaria" "Anthozoa" "Scleractinia" "Oculinidae" "Bantamia" 122.46 5.333 74 92
"7464" "Cnidaria" "Anthozoa" "Stauriida" "Laccophyllidae" "Barrandeophyllum" 419.2 298.9 29 42
"7485" "Cnidaria" "Anthozoa" "Scleractinia" "Calamophylliidae" "Baryphyllia" 155.7 66 68 81
"7496" "Cnidaria" "Anthozoa" "Scleractinia" "Rhipidogyridae" "Barysmilia" 93.9 23.03 77 89
"7517" "Cnidaria" "Anthozoa" "Stauriida" "Hapsiphyllidae" "Barytichisma" 339.4 314.6 37 40
"7524" "Cnidaria" "Anthozoa" "Scleractinia" "Amphiastreidae" "Bathmosmilia" 167.7 161.2 65 67
"7526" "Cnidaria" "Anthozoa" "Scleractinia" "Meandrinidae" "Bathycoenia" 168.3 164.7 65 66
"7530" "Cnidaria" "Anthozoa" "Scleractinia" "Turbinoliidae" "Bathycyathus" 113 15.97 75 90
"7549" "Cnidaria" "Anthozoa" "Stauriida" "Spongophyllidae" "Battersbyia" 388.1 372.2 32 34
"7555" "Cnidaria" "Anthozoa" "Auloporida" "Roemeriidae" "Bayhaium" 298.9 268 43 48
"7580" "Cnidaria" "Anthozoa" "Scleractinia" "Pamiroseriidae" "Beneckastraea" 237 201.3 56 58
