"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"7934" "Echinodermata" "Echinoidea" "Arbacioida" "Arbaciidae" "Glypticus" 161.2 145 67 69
"7939" "Echinodermata" "Crinoidea" "Monobathrida" "Glyptocrinidae" "Glyptocrinus" 470 443.7 16 21
"8103" "Echinodermata" "Echinoidea" "Calycina" "Phymosomatidae" "Glyptocyphus" 99.6 93.5 76 77
"8209" "Echinodermata" "Echinoidea" "Salenioida" "Hyposaleniidae" "Goniophorus" 145 93.5 70 77
"8215" "Echinodermata" "Echinoidea" "Arbacioida" "Arbaciidae" "Goniopygus" 139.8 61.6 70 82
"8340" "Echinodermata" "Crinoidea" "Calceocrinida" "Calceocrinidae" "Grypocrinus" 443.4 419.2 21 28
"8373" "Echinodermata" "Asteroidea" "Valvatida" "Goniasteridae" "Haccourtaster" 99.6 70.6 76 81
"8382" "Echinodermata" "Asteroidea" "Valvatida" "Stauranderasteridae" "Hadranderaster" 99.6 56 76 83
"8398" "Echinodermata" "Crinoidea" "Dendrocrinida" "Scytalocrinidae" "Haeretocrinus" 305.9 302.2 41 42
"8401" "Echinodermata" "Echinoidea" "Holasteroida" "Holasteridae" "Hagenowia" 85.8 66 79 81
"8405" "Echinodermata" "Crinoidea" "Monobathrida" "Hirneacrinidae" "Hagnocrinus" 443.4 419.2 21 28
"8416" "Echinodermata" "Echinoidea" "Clypeasteroida" "Oligopygidae" "Haimea" 56 33.9 84 87
"8425" "Echinodermata" "Crinoidea" "Ampelocrinida" "Ampelocrinidae" "Halogetocrinus" 305.9 298.9 41 42
"8427" "Echinodermata" "Crinoidea" "Calceocrinida" "Calceocrinidae" "Halysiocrinus" 387.7 342.8 33 37
"8482" "Echinodermata" "Crinoidea" "Monobathrida" "Hapalocrinidae" "Hapalocrinus" 438.5 402.5 23 31
"8618" "Echinodermata" "Crinoidea" "Comatulida" "Thiolliericrinidae" "Heberticrinus" 145 136.4 70 71
"8628" "Echinodermata" "Eocrinoidea" "Trachelocrinida" "Heckerocrinidae" "Heckerocrinus" 466 449.5 17 19
"8697" "Echinodermata" "Echinoidea" "Spatangoida" "Hemiasteridae" "Hemiaster" 122.46 11.608 74 92
"9120" "Echinodermata" "Echinoidea" "Camarodonta" "Glyphocyphidae" "Hemidiadema" 125 66 74 81
"9122" "Echinodermata" "Echinoidea" "Pedinoida" "Pedinidae" "Hemipedina" 237 145 56 69
