"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"8951" "Mollusca" "Gastropoda" "Murchisoniina" "Wortheniellidae" "Bandelium" 237 228 56 57
"9028" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Barocospira" 419.2 387.7 29 32
"9037" "Mollusca" "Gastropoda" "Murchisoniina" "Porcelliidae" "Barrandecirrus" 427.4 419.2 26 28
"9041" "Mollusca" "Gastropoda" "Murchisoniina" "Murchisoniidae" "Barroisocaulus" 410.8 391.9 30 32
"9077" "Mollusca" "Gastropoda" "Euomphalina" "Platyceratidae" "Barynema" 391.9 382.7 32 33
"9084" "Mollusca" "Gastropoda" "Euomphalina" "Omphalotrochidae" "Bassotrochus" 419.2 393.3 29 31
"9091" "Mollusca" "Gastropoda" "Allogastropoda" "Mathildidae" "Bathraspira" 125 99.6 74 76
"9097" "Mollusca" "Gastropoda" "Pleurotomariida" "Pleurotomariidae" "Bathrotomaria" 199.3 66 60 81
"9216" "Mollusca" "Gastropoda" "Neogastropoda" "Borsoniidae" "Bathytoma" 59.2 0.781 83 94
"9322" "Mollusca" "Gastropoda" "Sorbeoconcha" "Batillariidae" "Batillaria" 61.6 0 83 94
"9407" "Mollusca" "Gastropoda" "Sorbeoconcha" "Thiaridae" "Bayania" 66 23.03 82 89
"9478" "Mollusca" "Gastropoda" "Pleurotomariida" "Phymatopleuridae" "Baylea" 387.7 252.17 33 52
"9589" "Mollusca" "Gastropoda" "Neogastropoda" "Muricidae" "Bedeva" 15.97 0.0117 91 94
"9601" "Mollusca" "Gastropoda" "Neogastropoda" "Mangeliidae" "Bela" 41.3 0.0117 85 94
"9640" "Mollusca" "Gastropoda" "Architaenioglossa" "Viviparidae" "Bellamya" 47.8 0 85 94
"9671" "Mollusca" "Gastropoda" "Neogastropoda" "Mangeliidae" "Bellaspira" 15.97 0.781 91 94
"9677" "Mollusca" "Gastropoda" "Sorbeoconcha" "Cerithiidae" "Bellatara" 56 23.03 84 89
"9697" "Mollusca" "Gastropoda" "Murchisoniina" "Murchisoniidae" "Bellazona" 345 295.5 37 43
"9710" "Mollusca" "Gastropoda" "Bellerophontida" "Bellerophontidae" "Bellerophon" 460.9 251.3 17 52
"10304" "Mollusca" "Gastropoda" "Neogastropoda" "Fasciolariidae" "Bellifusus" 93.5 66 77 81
"10453" "Mollusca" "Gastropoda" "Murchisoniina" "Eotomariidae" "Bembexia" 427.4 336 26 37
"10513" "Mollusca" "Gastropoda" "Sorbeoconcha" "Brachytrematidae" "Benoistia" 66 23.03 82 89
"10586" "Mollusca" "Gastropoda" "Murchisoniina" "Soleniscidae" "Bensbergia" 407.6 358.9 31 35
"10627" "Mollusca" "Gastropoda" "Neogastropoda" "Mangeliidae" "Benthomangelia" 23.03 7.246 90 92
"10639" "Mollusca" "Gastropoda" "Euomphalina" "Oriostomatidae" "Beraunia" 427.4 423 26 27
"10658" "Mollusca" "Gastropoda" "Neogastropoda" "Turridae" "Beretra" 83.6 66 80 81
"10776" "Mollusca" "Gastropoda" "Sorbeoconcha" "Cerithiidae" "Bezanconia" 56 37.2 84 87
"10868" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Bicarina" 427.4 382.7 26 33
"10885" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Bicarinella" 290.1 252.17 45 52
"10897" "Mollusca" "Gastropoda" "Neogastropoda" "Columbellidae" "Bifurcium" 11.62 2.588 92 93
"10910" "Mollusca" "Gastropoda" "Basommatophora" "Planorbidae" "Biomphalaria" 56 0 84 94
"10931" "Mollusca" "Gastropoda" "Architectibranchia" "Ringiculidae" "Biplica" 100.5 66 76 81
"11053" "Mollusca" "Gastropoda" "Sorbeoconcha" "Cerithiidae" "Bittiolum" 23.03 0 90 94
"11074" "Mollusca" "Gastropoda" "Sorbeoconcha" "Potamididae" "Bittiscala" 85.8 55.8 79 84
"11081" "Mollusca" "Gastropoda" "Sorbeoconcha" "Cerithiidae" "Bittium" 161.2 0 67 94
"11526" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Bivetiella" 47.8 0.0117 85 94
"11699" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Bivetopsia" 23.03 0.0117 90 94
"11733" "Mollusca" "Gastropoda" "Murchisoniina" "Palaeozygopleuridae" "Bohemozyga" 393.3 382.4 32 34
"11736" "Mollusca" "Gastropoda" "Bellerophontida" "Bucaniidae" "Boiotremus" 438.5 393.3 23 31
"11764" "Mollusca" "Gastropoda" "Neogastropoda" "Muricidae" "Bolinus" 23.03 0.0117 90 94
"11775" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Bolis" 48.6 37.2 84 87
"11861" "Mollusca" "Gastropoda" "Neogastropoda" "Fasciolariidae" "Boltenella" 83.5 59.2 80 83
"11866" "Mollusca" "Gastropoda" "Neogastropoda" "Cancellariidae" "Bonellitia" 83.5 11.608 80 92
"12036" "Mollusca" "Gastropoda" "Neogastropoda" "Turridae" "Boreodrillia" 23.03 5.333 90 92
"12072" "Mollusca" "Gastropoda" "Neogastropoda" "Muricidae" "Boreotrophon" 23.03 0 90 94
"12100" "Mollusca" "Gastropoda" "Pleurotomariida" "Phymatopleuridae" "Borestus" 358.9 254.17 36 51
"12129" "Mollusca" "Gastropoda" "Neogastropoda" "Borsoniidae" "Borsonia" 66 0.781 82 94
"12263" "Mollusca" "Gastropoda" "Euomphalina" "Helicotomidae" "Boucotspira" 471.8 430.5 15 24
"12289" "Mollusca" "Gastropoda" "Neogastropoda" "Pseudomelaniidae" "Bourguetia" 237 56 56 83
"12348" "Mollusca" "Gastropoda" "Thecosomata" "Cavoliniidae" "Bowdenatheca" 7.246 2.588 92 93
"12351" "Mollusca" "Gastropoda" "Neogastropoda" "Mangeliidae" "Brachycythara" 20.44 0.781 90 94
"12361" "Mollusca" "Gastropoda" "Neogastropoda" "Buccinidae" "Brachysphingus" 66 2.588 82 93
"12398" "Mollusca" "Gastropoda" "Neogastropoda" "Turridae" "Brachytoma" 28.1 0.0117 89 94
"12429" "Mollusca" "Gastropoda" "Murchisoniina" "Phanerotrematidae" "Brachytomaria" 468.1 433.4 16 23
"12447" "Mollusca" "Gastropoda" "Sorbeoconcha" "Brachytrematidae" "Brachytrema" 170.3 145 64 69
"12494" "Mollusca" "Gastropoda" "Murchisoniina" "Gosseletinidae" "Breizospira" 388.1 382.7 32 33
"12498" "Mollusca" "Gastropoda" "Euomphalina" "Raphistomatidae" "Bridgeites" 485.4 468.1 14 16
"12538" "Mollusca" "Gastropoda" "Euomphalina" "Platyceratidae" "Brokenriveria" 387.7 370.6 33 35
"12544" "Mollusca" "Gastropoda" "Sorbeoconcha" "Thiaridae" "Brotia" 66 2.588 82 93
"12563" "Mollusca" "Gastropoda" "Sorbeoconcha" "Thiaridae" "Brotiopsis" 145 125 70 74
"12669" "Mollusca" "Gastropoda" "Bellerophontida" "Bellerophontidae" "Bubovicus" 430.5 423 25 27
