"Phylum" "Class" "Order" "Family" "Genus" "FAD.age" "LAD.age" "FAD_bin" "LAD_bin"
"22712" "Mollusca" "Bivalvia" "Hippuritida" "Caprinuloideidae" "Caprinuloidea" 122.46 93.9 74 76
"22737" "Mollusca" "Bivalvia" "Hippuritida" "Caprinulidae" "Caprotina" 125 66 74 81
"22753" "Mollusca" "Bivalvia" "Cardiida" "Anthracosiidae" "Carbonicola" 326.4 252.17 38 52
"22755" "Mollusca" "Bivalvia" "Veneroidei" "Cardiliidae" "Cardilia" 20.44 5.333 90 92
"22762" "Mollusca" "Bivalvia" "Carditida" "Cardiniidae" "Cardinia" 252.17 145 52 69
"23025" "Mollusca" "Bivalvia" "Trigoniida" "Trigonodidae" "Cardinioides" 251.3 182.7 52 61
"23045" "Mollusca" "Bivalvia" "Carditida" "Carditidae" "Cardiocardita" 56 0.126 84 94
"23056" "Mollusca" "Bivalvia" "Cyrtodontida" "Cardiolidae" "Cardiola" 443.4 346.7 21 36
"23167" "Mollusca" "Bivalvia" "Nuculida" "Cardiolariidae" "Cardiolaria" 466 449.5 17 19
"23181" "Mollusca" "Bivalvia" "Cyrtodontida" "Cardiolidae" "Cardiolinka" 425.6 391.9 27 32
"23229" "Mollusca" "Bivalvia" "Lucinida" "Lucinidae" "Cardiolucina" 20.44 0.0117 90 94
"23322" "Mollusca" "Bivalvia" "Poromyida" "Cuspidariidae" "Cardiomya" 83.5 0.0117 80 94
"23400" "Mollusca" "Bivalvia" "Carditida" "Carditidae" "Cardita" 237 0 56 94
"23738" "Mollusca" "Bivalvia" "Carditida" "Carditidae" "Carditamera" 48.6 0 84 94
"23881" "Mollusca" "Bivalvia" "Carditida" "Carditidae" "Carditella" 61.6 0 83 94
"23898" "Mollusca" "Bivalvia" "Carditida" "Carditidae" "Cardites" 48.6 0.0117 84 94
"23955" "Mollusca" "Bivalvia" "Cardiida" "Cardiidae" "Cardium" 445.6 0 19 94
"24641" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Caribachlamys" 23.03 0.0117 90 94
"24659" "Mollusca" "Bivalvia" "Pectinida" "Anomiidae" "Carolia" 66 15.97 82 90
"24708" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Carolinapecten" 23.03 0.0117 90 94
"24791" "Mollusca" "Bivalvia" "Modiomorphida" "Carydiidae" "Carydium" 419.2 372.2 29 34
"24836" "Mollusca" "Bivalvia" "Pholadida" "Corbulidae" "Caryocorbula" 125 0 74 94
"25440" "Mollusca" "Bivalvia" "Ostreida" "Cassianellidae" "Cassianella" 247.2 70.6 53 81
"25761" "Mollusca" "Bivalvia" "Pectinida" "Heteropectinidae" "Cassianoides" 298.9 252.17 43 52
"25789" "Mollusca" "Bivalvia" "Unionida" "Hyriidae" "Castalia" 56 5.333 84 92
"25792" "Mollusca" "Bivalvia" "Myalinida" "Inoceramidae" "Cataceramus" 86.3 66 79 81
"25814" "Mollusca" "Bivalvia" "Arcida" "Catamarcaiidae" "Catamarcaia" 478.6 466 14 17
"25817" "Mollusca" "Bivalvia" "Arcida" "Parallelodontidae" "Catella" 247.2 66 53 81
"25841" "Mollusca" "Bivalvia" "Lucinida" "Lucinidae" "Cavilinga" 66 0.0117 82 94
"25903" "Mollusca" "Bivalvia" "Lucinida" "Lucinidae" "Cavilucina" 196.5 0.781 60 94
"25973" "Mollusca" "Bivalvia" "Cardiida" "Kalenteridae" "Celtoides" 259.9 252.17 49 52
"25979" "Mollusca" "Bivalvia" "Cardiida" "Cardiidae" "Cerastoderma" 59.2 0.0117 83 94
"26123" "Mollusca" "Bivalvia" "Pholadida" "Ceratomyidae" "Ceratomya" 201.3 145 59 69
"26332" "Mollusca" "Bivalvia" "Megalodontida" "Ceratomyopsidae" "Ceratomyopsis" 201.3 145 59 69
"26438" "Mollusca" "Bivalvia" "Pandorida" "Laternulidae" "Cercomya" 235 66 56 81
"26517" "Mollusca" "Bivalvia" "Pectinida" "Chaenocardiidae" "Chaenocardia" 313.8 305.9 40 41
"26519" "Mollusca" "Bivalvia" "Ostreida" "Lunulicardiidae" "Chaenocardiola" 358.9 318.1 36 39
"26524" "Mollusca" "Bivalvia" "Pholadomyida" "Pholadomyidae" "Chaenomya" 318.1 268.8 39 47
"26531" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Chagrepecten" 11.608 2.588 92 93
"26541" "Mollusca" "Bivalvia" "Veneroidei" "Chamidae" "Chama" 145 0 70 94
"27134" "Mollusca" "Bivalvia" "Veneroidei" "Veneridae" "Chamelea" 33.9 0.0117 88 94
"27190" "Mollusca" "Bivalvia" "Cardiida" "Cardiidae" "Chesacardium" 23.03 2.588 90 93
"27262" "Mollusca" "Bivalvia" "Pectinida" "Pectinidae" "Chesapecten" 23.03 0.0117 90 94
"27435" "Mollusca" "Bivalvia" "Hippuritida" "Radiolitidae" "Chiapasella" 83.6 66 80 81
