"","gen_dur","subf_dur","fam_dur","supfam_dur","ord_dur","cla_dur"
"444",7.40000000000003,NA,20.15,NA,NA,NA
"445",6.09999999999999,NA,0,NA,NA,NA
"446",25.9,NA,0,NA,NA,NA
"447",9.80000000000001,NA,32.4,NA,NA,NA
"448",149.45,NA,0,NA,NA,NA
"449",4.1,NA,168.5,NA,NA,NA
"450",56.612,NA,0,NA,NA,NA
"451",70.87,NA,26.35,NA,NA,NA
"452",18.9,NA,0,NA,NA,NA
"453",41.7,NA,18.35,NA,NA,NA
"454",4.1,NA,12.25,NA,NA,NA
"455",65.7,NA,40,NA,NA,NA
"456",14.97,NA,171.9,NA,NA,NA
"457",38,NA,111.4,NA,NA,NA
"458",38,NA,369.2,NA,NA,NA
"459",85.8,NA,231.5,NA,NA,NA
"460",27.65,NA,0,NA,NA,NA
"461",42,NA,155.4,NA,NA,NA
"462",32.97,NA,0,NA,NA,NA
"463",50.2883,NA,0,NA,NA,NA
"464",11.5963,NA,0,NA,NA,NA
"465",10.43,NA,0,NA,NA,NA
"466",14.3,NA,0,NA,NA,NA
"467",42,NA,20.65,NA,NA,NA
"468",7.20000000000005,NA,0,NA,NA,NA
"469",6.62,NA,48.13,NA,NA,NA
"470",40.2,NA,53.45,NA,NA,NA
"471",30,NA,0,NA,NA,NA
"472",17.7,NA,0,NA,NA,NA
"473",28.1,NA,8.65,NA,NA,NA
"474",28.1,NA,0,NA,NA,NA
"475",16.1,NA,0,NA,NA,NA
"476",19.4,NA,0,NA,NA,NA
"477",4.1,NA,0,NA,NA,NA
"478",38.5,NA,83.95,NA,NA,NA
"479",36.48,NA,0,NA,NA,NA
"480",28,NA,0,NA,NA,NA
"481",102.7,NA,0,NA,NA,NA
"482",4.5,NA,18.7,NA,NA,NA
"483",17.697,NA,53.45,NA,NA,NA
"484",10.4,NA,0,NA,NA,NA
"485",17.2,NA,19.25,NA,NA,NA
"486",17.17,NA,70,NA,NA,NA
"487",6.62,NA,129.65,NA,NA,NA
"488",13.83,NA,0,NA,NA,NA
"489",6.62,NA,0,NA,NA,NA
"490",29.05,NA,0,NA,NA,NA
"491",16.5,NA,0,NA,NA,NA
"492",34.612,NA,58.35,NA,NA,NA
"493",17.5,NA,0,NA,NA,NA
"494",36.194,NA,8.65,NA,NA,NA
"495",70.47,NA,0,NA,NA,NA
"496",118.03,NA,34.5,NA,NA,NA
"497",5.37,NA,61.25,NA,NA,NA
"498",16.3,NA,44.3,NA,NA,NA
"499",17.93,NA,0,NA,NA,NA
"500",14.97,NA,16.25,NA,NA,NA
"501",42.18,NA,0,NA,NA,NA
"502",24.18,NA,77.7,NA,NA,NA
"503",6.65000000000003,NA,79.35,NA,NA,NA
"504",4.1,NA,0,NA,NA,NA
"505",43.64,NA,0,NA,NA,NA
"506",44.392,NA,21.8,NA,NA,NA
"507",36.419,NA,0,NA,NA,NA
"508",23.8,NA,32.4,NA,NA,NA
"509",4.1,NA,0,NA,NA,NA
"510",33.8883,NA,0,NA,NA,NA
"511",12.6,NA,0,NA,NA,NA
"512",6.90000000000001,NA,0,NA,NA,NA
"513",16.1,NA,20.9,NA,NA,NA
"514",22.7,NA,20.15,NA,NA,NA
