occurrence_no,record_type,reid_no,flags,collection_no,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,phylum,phylum_no,class,class_no,order,order_no,family,family_no,genus,genus_no,subgenus_no,primary_name,primary_reso,subgenus_name,subgenus_reso,species_name,species_reso
945478,occ,NA,,75638,Pterosphenus,genus,36413,Priabonian,,38,33.9,36264,Chordata,33815,Reptilia,36322,Squamata,36379,Palaeophiidae,65114,Pterosphenus,36413,NA,Pterosphenus,,,NA,schucherti,
945501,occ,NA,,109711,Thecodontosaurus,genus,53022,Rhaetian,,208.5,201.3,36266,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Thecodontosaurus,53022,NA,Thecodontosaurus,,,NA,sp.,
945644,occ,NA,,109761,Platecarpus,genus,36406,Campanian,,83.6,72.1,36230,Chordata,33815,Reptilia,36322,Squamata,36379,Mosasauridae,38049,Platecarpus,36406,NA,Platecarpus,,,NA,ictericus,
945766,occ,NA,,92290,Barbosania,genus,186110,Early Albian,,112.03,109,36271,Chordata,33815,Reptilia,36322,Pterosauria,38461,Ornithocheiridae,38495,Barbosania,186110,NA,Barbosania,n. gen.,,NA,gracilirostris,n. sp.
945781,occ,NA,,109800,Peloneustes,genus,36498,Middle Callovian,,164.7,161.2,33944,Chordata,33815,Reptilia,36322,Sauropterygia,38164,Pliosauridae,38178,Peloneustes,36498,NA,Peloneustes,,,NA,philarchus,
945937,occ,NA,,109863,Geochen,genus,186235,Holocene,,0.0117,0,36282,Chordata,33815,Aves,36616,Anseriformes,39620,Anatidae,39624,Geochen,186235,NA,Geochen,n. gen.,,NA,rhuax,n. sp.
946456,occ,NA,,110072,Thambetochen,genus,186242,Late Pleistocene,,0.126,0.0117,36280,Chordata,33815,Aves,36616,Anseriformes,39620,Anatidae,39624,Thambetochen,186242,NA,Thambetochen,,,NA,chauliodous,
946461,occ,NA,,110072,Apteribis,genus,39564,Late Pleistocene,,0.126,0.0117,36280,Chordata,33815,Aves,36616,Ciconiiformes,39633,Plataleidae,39563,Apteribis,39564,NA,Apteribis,,,NA,glenos,
946464,occ,NA,,110072,Ciridops,genus,186449,Late Pleistocene,,0.126,0.0117,36280,Chordata,33815,Aves,36616,Passeriformes,39441,Fringillidae,39450,Ciridops,186449,NA,Ciridops,,,NA,sp.,
946472,occ,NA,,110073,Thambetochen,genus,186242,Holocene,,0.0117,0,36280,Chordata,33815,Aves,36616,Anseriformes,39620,Anatidae,39624,Thambetochen,186242,NA,Thambetochen,,,NA,sp.,
946473,occ,NA,,110073,Apteribis,genus,39564,Holocene,,0.0117,0,36280,Chordata,33815,Aves,36616,Ciconiiformes,39633,Plataleidae,39563,Apteribis,39564,NA,Apteribis,,,NA,glenos,
946482,occ,NA,,110074,Thambetochen,genus,186242,Holocene,,0.0117,0,36280,Chordata,33815,Aves,36616,Anseriformes,39620,Anatidae,39624,Thambetochen,186242,NA,Thambetochen,,,NA,sp.,
946486,occ,NA,,110074,Apteribis,genus,39564,Holocene,,0.0117,0,36280,Chordata,33815,Aves,36616,Ciconiiformes,39633,Plataleidae,39563,Apteribis,39564,NA,Apteribis,,,NA,glenos,
946489,occ,NA,,110075,Apteribis,genus,39564,Holocene,,0.0117,0,36280,Chordata,33815,Aves,36616,Ciconiiformes,39633,Plataleidae,39563,Apteribis,39564,NA,Apteribis,,,NA,sp.,
946496,occ,NA,,110076,Moho,genus,186406,Holocene,,0.0117,0,36280,Chordata,33815,Aves,36616,Passeriformes,39441,Mohoidae,368326,Moho,186406,NA,Moho,,,NA,braccatus,
946498,occ,NA,,89311,Chaetoptila,genus,186410,Late Pleistocene,,0.126,0.0117,36280,Chordata,33815,Aves,36616,Passeriformes,39441,Meliphagidae,143836,Chaetoptila,186410,NA,Chaetoptila,,,NA,sp.,
946503,occ,NA,,89311,Thambetochen,genus,186242,Late Pleistocene,,0.126,0.0117,36280,Chordata,33815,Aves,36616,Anseriformes,39620,Anatidae,39624,Thambetochen,186242,NA,Thambetochen,,,NA,sp.,
946506,occ,NA,,110077,Geochen,genus,186235,Holocene,,0.0117,0,36280,Chordata,33815,Aves,36616,Anseriformes,39620,Anatidae,39624,Geochen,186235,NA,Geochen,,,NA,rhuax,
946509,occ,NA,,110078,Apteribis,genus,39564,Holocene,,0.0117,0,36280,Chordata,33815,Aves,36616,Ciconiiformes,39633,Plataleidae,39563,Apteribis,39564,NA,Apteribis,,,NA,sp.,
946773,occ,NA,,110176,Ophthalmosaurus,genus,36566,Early Tithonian,,150.8,145,36323,Chordata,33815,Reptilia,36322,Ichthyosauria,36543,Ophthalmosauridae,170908,Ophthalmosaurus,36566,NA,Ophthalmosaurus,,,NA,icenicus,cf.
946774,occ,NA,,110177,Champsosaurus,genus,37786,Late Maastrichtian,,70.6,66,36324,Chordata,33815,Reptilia,36322,Choristodera,37784,NO_FAMILY_SPECIFIED,NF,Champsosaurus,37786,NA,Champsosaurus,,,NA,sp.,
946776,occ,NA,,110177,Hoplochelys,genus,37658,Late Maastrichtian,,70.6,66,36324,Chordata,33815,Reptilia,36322,Testudines,56475,Kinosternoidea,67314,Hoplochelys,37658,NA,Hoplochelys,,,NA,sp.,
946851,occ,29571,,110213,Thalassiodracon,genus,100053,Early Hettangian,,201.3,196.5,14142,Chordata,33815,Reptilia,36322,Sauropterygia,38164,Pliosauridae,38178,Thalassiodracon,100053,NA,Plesiosaurus,,,NA,hawkinsi,
947536,occ,NA,,77232,Simoliophis,genus,36416,Early Cenomanian,,99.6,93.5,36357,Chordata,33815,Reptilia,36322,Squamata,36379,Simoliophiidae,38077,Simoliophis,36416,NA,Simoliophis,,,NA,rochebrunei,
947539,occ,NA,,64878,Carentonosaurus,genus,186982,Cenomanian,,100.5,93.9,36357,Chordata,33815,Reptilia,36322,Squamata,36379,Aigialosauridae,38047,Carentonosaurus,186982,NA,Carentonosaurus,n. gen.,,NA,mineaui,n. sp.
947540,occ,NA,,110465,Platypterygius,genus,36569,Late Albian,,105.3,99.6,36358,Chordata,33815,Reptilia,36322,Ichthyosauria,36543,Ophthalmosauridae,170908,Platypterygius,36569,NA,Platypterygius,,,NA,longmani,
947543,occ,NA,,77230,Simoliophis,genus,36416,Early Cenomanian,,99.6,93.5,36357,Chordata,33815,Reptilia,36322,Squamata,36379,Simoliophiidae,38077,Simoliophis,36416,NA,Simoliophis,,,NA,rochebrunei,
947544,occ,NA,,59809,Simoliophis,genus,36416,Early Cenomanian,,99.6,93.5,36357,Chordata,33815,Reptilia,36322,Squamata,36379,Simoliophiidae,38077,Simoliophis,36416,NA,Simoliophis,,,NA,rochebrunei,
947545,occ,NA,,88991,Carentonosaurus,genus,186982,Late Cenomanian,,99.6,93.5,36357,Chordata,33815,Reptilia,36322,Squamata,36379,Aigialosauridae,38047,Carentonosaurus,186982,NA,Carentonosaurus,,,NA,mineaui,
947546,occ,NA,,110466,Carentonosaurus,genus,186982,Late Cenomanian,,99.6,93.5,36357,Chordata,33815,Reptilia,36322,Squamata,36379,Aigialosauridae,38047,Carentonosaurus,186982,NA,Carentonosaurus,,,NA,mineaui,
947583,occ,NA,,62293,Qiliania,genus,186991,Aptian,,125,113,36365,Chordata,33815,Aves,36616,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Qiliania,186991,NA,Qiliania,n. gen.,,NA,graffini,n. sp.
948396,occ,NA,,60762,Cimoliasaurus,genus,36464,Aptian,,125,113,36387,Chordata,33815,Reptilia,36322,Sauropterygia,38164,Elasmosauridae,38175,Cimoliasaurus,36464,NA,Cimoliasaurus,,,NA,maccoyi,n. sp.
948397,occ,NA,,60762,Platypterygius,genus,36569,Aptian,,125,113,36387,Chordata,33815,Reptilia,36322,Ichthyosauria,36543,Ophthalmosauridae,170908,Platypterygius,36569,NA,Platypterygius,,,NA,sp.,
949807,occ,NA,,66819,Pelagornis,genus,39666,Piacenzian,,3.6,2.588,36414,Chordata,33815,Aves,36616,NO_ORDER_SPECIFIED,NO,Pelagornithidae,39658,Pelagornis,39666,NA,Pelagornis,,,NA,sp.,
949902,occ,NA,,110826,Lariosaurus,genus,36438,Ladinian,,242,237,36415,Chordata,33815,Reptilia,36322,Eosauropterygia,100142,Nothosauridae,38170,Lariosaurus,36438,NA,Lariosaurus,,,NA,balsami,
949903,occ,NA,,35132,Phaethusavis,genus,65082,Ypresian,,56,47.8,36416,Chordata,33815,Aves,36616,Pelecaniformes,36634,Phaethontidae,39656,Phaethusavis,65082,NA,Phaethusavis,n. gen.,,NA,pelagicus,n. sp.
949905,occ,28034,,60762,Kronosaurus,genus,36482,Aptian,,125,113,36417,Chordata,33815,Reptilia,36322,Sauropterygia,38164,Pliosauridae,38178,Kronosaurus,36482,NA,Kronosaurus,,,NA,sp.,
949906,occ,NA,,89950,Platypterygius,genus,36569,Late Albian,,105.3,99.6,36419,Chordata,33815,Reptilia,36322,Ichthyosauria,36543,Ophthalmosauridae,170908,Platypterygius,36569,NA,Platypterygius,,,NA,longmani,n. sp.
950123,occ,NA,,110465,Kronosaurus,genus,36482,Late Albian,,105.3,99.6,44309,Chordata,33815,Reptilia,36322,Sauropterygia,38164,Pliosauridae,38178,Kronosaurus,36482,NA,Kronosaurus,n. gen.,,NA,queenslandicus,n. sp.
950129,occ,24907,,26370,Titanosaurus,genus,38694,Maastrichtian,,72.1,66,17139,Chordata,33815,Saurischia,38505,NO_ORDER_SPECIFIED,NO,NO_FAMILY_SPECIFIED,NF,Titanosaurus,38694,NA,Titanosaurus,,,NA,blanfordi,n. sp.
