order,superfamily,family,genus,fad,lad
Rotaliida,Acervulinoidea,Acervulinidae,Ladoronia,23.03,5.333
Rotaliida,Acervulinoidea,Acervulinidae,Planogypsina,23.03,0
Rotaliida,Acervulinoidea,Acervulinidae,Discogypsina,37.8,0
Rotaliida,Acervulinoidea,Acervulinidae,Gypsina,28.1,0
Rotaliida,Acervulinoidea,Acervulinidae,Orbitogypsina,37.8,23.03
Rotaliida,Acervulinoidea,Acervulinidae,Protogypsina,66,56
Rotaliida,Acervulinoidea,Acervulinidae,Solenomeris,56,0
Rotaliida,Acervulinoidea,Acervulinidae,Sphaerogypsina,66,0
Rotaliida,Acervulinoidea,Acervulinidae,Wilfordia,37.8,33.9
Rotaliida,Acervulinoidea,Homotrematidae,Homotrema,23.03,0
Rotaliida,Acervulinoidea,Homotrematidae,Miniacina,23.03,0
Rotaliida,Acervulinoidea,Homotrematidae,Sporadotrema,56,0
Rotaliida,Nonionoidea,Miscellaneidae,Miscellanea,66,56
Rotaliida,Nonionoidea,Miscellaneidae,Bolkarina,59.2,56
Rotaliida,Nonionoidea,Miscellaneidae,Miscellanites,59.2,56
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Actinosiphon,59.2,56
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Neosivasella,59.2,56
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Orbitosiphon,66,56
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Sirelella,47.8,41.2
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Arnaudiella,78.7,72.1
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Clypeorbis,69.2,66
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Helicorbitoides,78.7,66
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Lepidorbitoides,78.7,66
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Pseudosiderolites,83.6,72.1
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Sirtina,86.3,69.2
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Sulcoperculina,83.6,66
Rotaliida,Orbitoidoidea,Lepidorbitoididae,Vanderbeekia,72.1,69.2
Rotaliida,Orbitoidoidea,Orduellinidae,Orduella,66,56
Rotaliida,Orbitoidoidea,Orbitoididae,Monolepidorbis,85.1,66
Rotaliida,Orbitoidoidea,Orbitoididae,Orbitoides,85.1,66
Rotaliida,Orbitoidoidea,Orbitoididae,Pseudomphalocyclus,69.2,66
Rotaliida,Orbitoidoidea,Orbitoididae,Simplorbites,72.1,66
Rotaliida,Orbitoidoidea,Orbitoididae,Omphalocyclus,72.1,66
Rotaliida,Orbitoidoidea,Orbitoididae,Torreina,72.1,66
Rotaliida,Orbitoidoidea,Hellenocyclinidae,Hellenocyclina,72.1,66
Textulariida,Ataxophragmioidea,Alveovalvulinidae,Alveovalvulina,23.03,3.6
Textulariida,Ataxophragmioidea,Alveovalvulinidae,Guppyella,23.03,0
Textulariida,Ataxophragmioidea,Alveovalvulinidae,Jarvisella,20.44,11.63
Textulariida,Ataxophragmioidea,Textulariellidae,Cuneolinella,15.97,11.63
Textulariida,Ataxophragmioidea,Textulariellidae,Textulariella,23.03,0
Textulariida,Ataxophragmioidea,Globotextulariidae,Cubanina,28.1,0
Textulariida,Ataxophragmioidea,Globotextulariidae,Liebusella,37.8,0
